domain,variable,label,type,core,min_ig_version
PC,PCSTRESN,Numeric Result in Std Units,Num,Exp,3.3
PC,PCSTRESU,Standard Units,Char,Exp,3.3
PC,PCSPEC,Specimen Type,Char,Exp,3.3
PC,PCMETHOD,Method,Char,Perm,3.3
PC,PCBLFL,Baseline Flag,Char,Perm,3.3
PC,PCDTC,Date/Time of Specimen Collection,Char,Exp,3.3
PC,PCDY,Study Day of Collection,Num,Perm,3.3
PC,PCTPT,Planned Time Point Name,Char,Perm,3.3
PC,PCTPTNUM,Planned Time Point Number,Num,Perm,3.3
PC,PCELTM,Planned Elapsed Time from Time Point Ref,Char,Perm,3.3
PC,VISITNUM,Visit Number,Num,Exp,3.3
PC,VISIT,Visit Name,Char,Exp,3.3
PC,EPOCH,Epoch,Char,Perm,3.3
PE,STUDYID,Study Identifier,Char,Req,3.3
PE,DOMAIN,Domain Abbreviation,Char,Req,3.3
PE,USUBJID,Unique Subject Identifier,Char,Req,3.3
PE,PESEQ,Sequence Number,Num,Req,3.3
PE,PETESTCD,Physical Examination Short Name,Char,Req,3.3
PE,PETEST,Physical Examination Test Name,Char,Req,3.3
PE,PECAT,Category,Char,Perm,3.3
PE,PEBODSYS,Body System or Organ Class,Char,Perm,3.3
PE,PEORRES,Result or Finding in Original Units,Char,Exp,3.3
PE,PEORRESU,Original Units,Char,Perm,3.3
PE,PESTRESC,Character Result/Finding in Std Format,Char,Exp,3.3
PE,PESTRESN,Numeric Result/Finding in Std Units,Num,Perm,3.3
PE,PESTRESU,Standard Units,Char,Perm,3.3
PE,PELOC,Location Used for the Measurement,Char,Perm,3.3
PE,PEDTC,Date/Time of Examination,Char,Exp,3.3
PE,PEDY,Study Day of Examination,Num,Perm,3.3
PE,VISITNUM,Visit Number,Num,Exp,3.3
PE,VISIT,Visit Name,Char,Exp,3.3
PE,EPOCH,Epoch,Char,Perm,3.3
PP,STUDYID,Study Identifier,Char,Req,3.3
PP,DOMAIN,Domain Abbreviation,Char,Req,3.3
PP,USUBJID,Unique Subject Identifier,Char,Req,3.3
PP,PPSEQ,Sequence Number,Num,Req,3.3
PP,PPGRPID,Group ID,Char,Perm,3.3
PP,PPTESTCD,PK Parameter Short Name,Char,Req,3.3
PP,PPTEST,PK Parameter Name,Char,Req,3.3
PP,PPCAT,Category,Char,Perm,3.3
PP,PPSCAT,Subcategory,Char,Perm,3.3
PP,PPORRES,Result in Original Units,Char,Exp,3.3
PP,PPORRESU,Original Units,Char,Exp,3.3
PP,PPSTRESC,Character Result in Std Format,Char,Exp,3.3
PP,PPSTRESN,Numeric Result in Std Units,Num,Exp,3.3
PP,PPSTRESU,Standard Units,Char,Exp,3.3
PP,PPDTC,Date/Time,Char,Perm,3.3
PP,PPDY,Study Day,Num,Perm,3.3
PP,PPSPEC,Specimen Type,Char,Perm,3.3
PP,PPRFTDTC,Date/Time of Reference Point,Char,Perm,3.3
PP,VISITNUM,Visit Number,Num,Perm,3.3
PP,VISIT,Visit Name,Char,Perm,3.3
PP,EPOCH,Epoch,Char,Perm,3.3
QS,STUDYID,Study Identifier,Char,Req,3.3
QS,DOMAIN,Domain Abbreviation,Char,Req,3.3
QS,USUBJID,Unique Subject Identifier,Char,Req,3.3
QS,QSSEQ,Sequence Number,Num,Req,3.3
QS,QSTESTCD,Questionnaire Test Short Name,Char,Req,3.3
QS,QSTEST,Questionnaire Test Name,Char,Req,3.3
QS,QSCAT,Category of Questionnaire,Char,Exp,3.3
QS,QSSCAT,Subcategory of Questionnaire,Char,Perm,3.3
QS,QSORRES,Result or Finding in Original Units,Char,Exp,3.3
QS,QSORRESU,Original Units,Char,Perm,3.3
QS,QSSTRESC,Character Result/Finding in Std Format,Char,Exp,3.3
QS,QSSTRESN,Numeric Result/Finding in Std Units,Num,Perm,3.3
QS,QSSTRESU,Standard Units,Char,Perm,3.3
QS,QSBLFL,Baseline Flag,Char,Perm,3.3
QS,QSDTC,Date/Time of Finding,Char,Exp,3.3
QS,QSDY,Study Day of Finding,Num,Perm,3.3
QS,QSTPT,Planned Time Point Name,Char,Perm,3.3
QS,QSTPTNUM,Planned Time Point Number,Num,Perm,3.3
QS,VISITNUM,Visit Number,Num,Exp,3.3
QS,VISIT,Visit Name,Char,Exp,3.3
QS,EPOCH,Epoch,Char,Perm,3.3
QS,QSEVAL,Evaluator,Char,Perm,3.3
QS,QSEVLINT,Evaluation Interval,Char,Perm,3.3
RS,STUDYID,Study Identifier,Char,Req,3.3
RS,DOMAIN,Domain Abbreviation,Char,Req,3.3
RS,USUBJID,Unique Subject Identifier,Char,Req,3.3
RS,RSSEQ,Sequence Number,Num,Req,3.3
RS,RSGRPID,Group ID,Char,Perm,3.3
RS,RSTESTCD,Disease Response Short Name,Char,Req,3.3
RS,RSTEST,Disease Response Test Name,Char,Req,3.3
RS,RSCAT,Category,Char,Exp,3.3
RS,RSSCAT,Subcategory,Char,Perm,3.3
RS,RSORRES,Result or Finding in Original Units,Char,Exp,3.3
RS,RSSTRESC,Character Result in Std Format,Char,Exp,3.3
RS,RSEVAL,Evaluator,Char,Perm,3.3
RS,RSDTC,Date/Time of Assessment,Char,Exp,3.3
RS,RSDY,Study Day of Assessment,Num,Perm,3.3
RS,VISITNUM,Visit Number,Num,Exp,3.3
RS,VISIT,Visit Name,Char,Exp,3.3
RS,EPOCH,Epoch,Char,Perm,3.3
SC,STUDYID,Study Identifier,Char,Req,3.3
SC,DOMAIN,Domain Abbreviation,Char,Req,3.3
SC,USUBJID,Unique Subject Identifier,Char,Req,3.3
SC,SCSEQ,Sequence Number,Num,Req,3.3
SC,SCTESTCD,Subject Characteristic Short Name,Char,Req,3.3
SC,SCTEST,Subject Characteristic,Char,Req,3.3
SC,SCCAT,Category,Char,Perm,3.3
SC,SCSCAT,Subcategory,Char,Perm,3.3
SC,SCORRES,Result or Finding in Original Units,Char,Exp,3.3
SC,SCORRESU,Original Units,Char,Perm,3.3
SC,SCSTRESC,Character Result in Std Format,Char,Exp,3.3
SC,SCSTRESN,Numeric Result in Std Units,Num,Perm,3.3
SC,SCSTRESU,Standard Units,Char,Perm,3.3
SC,SCDTC,Date/Time of Collection,Char,Exp,3.3
SC,SCDY,Study Day of Collection,Num,Perm,3.3
SS,STUDYID,Study Identifier,Char,Req,3.3
SS,DOMAIN,Domain Abbreviation,Char,Req,3.3
SS,USUBJID,Unique Subject Identifier,Char,Req,3.3
SS,SSSEQ,Sequence Number,Num,Req,3.3
SS,SSTESTCD,Subject Status Short Name,Char,Req,3.3
SS,SSTEST,Subject Status,Char,Req,3.3
SS,SSCAT,Category,Char,Perm,3.3
SS,SSSCAT,Subcategory,Char,Perm,3.3
SS,SSORRES,Result or Finding in Original Units,Char,Exp,3.3
SS,SSSTRESC,Character Result in Std Format,Char,Exp,3.3
SS,SSDTC,Date/Time of Assessment,Char,Exp,3.3
SS,SSDY,Study Day of Assessment,Num,Perm,3.3
SS,EPOCH,Epoch,Char,Perm,3.3
TR,STUDYID,Study Identifier,Char,Req,3.3
TR,DOMAIN,Domain Abbreviation,Char,Req,3.3
TR,USUBJID,Unique Subject Identifier,Char,Req,3.3
TR,TRSEQ,Sequence Number,Num,Req,3.3
TR,TRGRPID,Group ID,Char,Perm,3.3
TR,TRLNKID,Link ID,Char,Exp,3.3
TR,TRTESTCD,Tumor/Lesion Assessment Short Name,Char,Req,3.3
TR,TRTEST,Tumor/Lesion Assessment Test Name,Char,Req,3.3
TR,TRORRES,Result or Finding in Original Units,Char,Exp,3.3
TR,TRORRESU,Original Units,Char,Exp,3.3
TR,TRSTRESC,Character Result in Std Format,Char,Exp,3.3
TR,TRSTRESN,Numeric Result in Std Units,Num,Perm,3.3
TR,TRSTRESU,Standard Units,Char,Perm,3.3
TR,TRMETHOD,Method of Assessment,Char,Perm,3.3
TR,TREVAL,Evaluator,Char,Perm,3.3
TR,TRDTC,Date/Time of Assessment,Char,Exp,3.3
TR,TRDY,Study Day of Assessment,Num,Perm,3.3
TR,VISITNUM,Visit Number,Num,Exp,3.3
TR,VISIT,Visit Name,Char,Exp,3.3
TR,EPOCH,Epoch,Char,Perm,3.3
TU,STUDYID,Study Identifier,Char,Req,3.3
TU,DOMAIN,Domain Abbreviation,Char,Req,3.3
TU,USUBJID,Unique Subject Identifier,Char,Req,3.3
TU,TUSEQ,Sequence Number,Num,Req,3.3
TU,TUGRPID,Group ID,Char,Perm,3.3
TU,TULNKID,Link ID,Char,Exp,3.3
TU,TUTESTCD,Tumor Identification Short Name,Char,Req,3.3
TU,TUTEST,Tumor Identification Test Name,Char,Req,3.3
TU,TUORRES,Result or Finding in Original Units,Char,Exp,3.3
TU,TUSTRESC,Character Result in Std Format,Char,Exp,3.3
TU,TULOC,Location of Tumor/Lesion,Char,Exp,3.3
TU,TULAT,Laterality,Char,Perm,3.3
TU,TUMETHOD,Method of Identification,Char,Perm,3.3
TU,TUEVAL,Evaluator,Char,Perm,3.3
TU,TUDTC,Date/Time of Assessment,Char,Exp,3.3
TU,TUDY,Study Day of Assessment,Num,Perm,3.3
TU,EPOCH,Epoch,Char,Perm,3.3
AG,STUDYID,Study Identifier,Char,Req,3.3
AG,DOMAIN,Domain Abbreviation,Char,Req,3.3
AG,USUBJID,Unique Subject Identifier,Char,Req,3.3
AG,AGSEQ,Sequence Number,Num,Req,3.3
AG,AGTRT,Reported Agent Name,Char,Req,3.3
AG,AGDECOD,Standardized Agent Name,Char,Perm,3.3
AG,AGCAT,Category,Char,Perm,3.3
AG,AGDOSE,Agent Dose,Num,Exp,3.3
AG,AGDOSU,Agent Dose Units,Char,Exp,3.3
AG,AGDOSFRM,Agent Dose Form,Char,Exp,3.3
AG,AGROUTE,Route of Administration,Char,Exp,3.3
AG,AGSTDTC,Start Date/Time,Char,Exp,3.3
AG,AGENDTC,End Date/Time,Char,Perm,3.3
AG,AGSTDY,Study Day of Start,Num,Perm,3.3
AG,AGENDY,Study Day of End,Num,Perm,3.3
AG,AGLNKID,Link ID,Char,Perm,3.3
AG,EPOCH,Epoch,Char,Perm,3.3
BE,STUDYID,Study Identifier,Char,Req,3.4
BE,DOMAIN,Domain Abbreviation,Char,Req,3.4
BE,USUBJID,Unique Subject Identifier,Char,Req,3.4
BE,BESEQ,Sequence Number,Num,Req,3.4
BE,BETERM,Reported Term for Biospecimen Event,Char,Req,3.4
BE,BEDECOD,Dictionary-Derived Term,Char,Perm,3.4
BE,BECAT,Category,Char,Perm,3.4
BE,BESCAT,Subcategory,Char,Perm,3.4
BE,BESTDTC,Start Date/Time,Char,Exp,3.4
BE,BEENDTC,End Date/Time,Char,Perm,3.4
BE,BEDY,Study Day,Num,Perm,3.4
BE,EPOCH,Epoch,Char,Perm,3.4
BS,STUDYID,Study Identifier,Char,Req,3.4
BS,DOMAIN,Domain Abbreviation,Char,Req,3.4
BS,USUBJID,Unique Subject Identifier,Char,Req,3.4
BS,BSSEQ,Sequence Number,Num,Req,3.4
BS,BSTESTCD,Biospecimen Test Short Name,Char,Req,3.4
BS,BSTEST,Biospecimen Test Name,Char,Req,3.4
BS,BSCAT,Category,Char,Perm,3.4
BS,BSORRES,Result in Original Units,Char,Exp,3.4
BS,BSORRESU,Original Units,Char,Exp,3.4
BS,BSSTRESC,Character Result in Std Format,Char,Exp,3.4
BS,BSSTRESN,Numeric Result in Std Units,Num,Perm,3.4
BS,BSSTRESU,Standard Units,Char,Perm,3.4
BS,BSSPEC,Specimen Type,Char,Exp,3.4
BS,BSMETHOD,Method,Char,Perm,3.4
BS,BSDTC,Date/Time of Collection,Char,Exp,3.4
BS,BSDY,Study Day of Collection,Num,Perm,3.4
BS,EPOCH,Epoch,Char,Perm,3.4
CP,STUDYID,Study Identifier,Char,Req,3.4
CP,DOMAIN,Domain Abbreviation,Char,Req,3.4
CP,USUBJID,Unique Subject Identifier,Char,Req,3.4
CP,CPSEQ,Sequence Number,Num,Req,3.4
CP,CPTESTCD,Cell Phenotype Test Short Name,Char,Req,3.4
CP,CPTEST,Cell Phenotype Test Name,Char,Req,3.4
CP,CPCAT,Category,Char,Perm,3.4
CP,CPSCAT,Subcategory,Char,Perm,3.4
CP,CPORRES,Result in Original Units,Char,Exp,3.4
CP,CPORRESU,Original Units,Char,Exp,3.4
CP,CPSTRESC,Character Result in Std Format,Char,Exp,3.4
CP,CPSTRESN,Numeric Result in Std Units,Num,Perm,3.4
CP,CPSTRESU,Standard Units,Char,Perm,3.4
CP,CPSPEC,Specimen Type,Char,Exp,3.4
CP,CPMETHOD,Method,Char,Perm,3.4
CP,CPDTC,Date/Time of Collection,Char,Exp,3.4
CP,CPDY,Study Day of Collection,Num,Perm,3.4
CP,EPOCH,Epoch,Char,Perm,3.4
GF,STUDYID,Study Identifier,Char,Req,3.4
GF,DOMAIN,Domain Abbreviation,Char,Req,3.4
GF,USUBJID,Unique Subject Identifier,Char,Req,3.4
GF,GFSEQ,Sequence Number,Num,Req,3.4
GF,GFTESTCD,Genomics Findings Test Short Name,Char,Req,3.4
GF,GFTEST,Genomics Findings Test Name,Char,Req,3.4
GF,GFCAT,Category,Char,Perm,3.4
GF,GFSCAT,Subcategory,Char,Perm,3.4
GF,GFORRES,Result in Original Units,Char,Exp,3.4
GF,GFORRESU,Original Units,Char,Exp,3.4
GF,GFSTRESC,Character Result in Std Format,Char,Exp,3.4
GF,GFSTRESN,Numeric Result in Std Units,Num,Perm,3.4
GF,GFSTRESU,Standard Units,Char,Perm,3.4
GF,GFSPEC,Specimen Type,Char,Exp,3.4
GF,GFMETHOD,Method,Char,Perm,3.4
GF,GFDTC,Date/Time of Collection,Char,Exp,3.4
GF,GFDY,Study Day of Collection,Num,Perm,3.4
GF,EPOCH,Epoch,Char,Perm,3.4
IS,STUDYID,Study Identifier,Char,Req,3.3
IS,DOMAIN,Domain Abbreviation,Char,Req,3.3
IS,USUBJID,Unique Subject Identifier,Char,Req,3.3
IS,ISSEQ,Sequence Number,Num,Req,3.3
IS,ISTESTCD,Immunogenicity Test Short Name,Char,Req,3.3
IS,ISTEST,Immunogenicity Test Name,Char,Req,3.3
IS,ISCAT,Category,Char,Perm,3.3
IS,ISORRES,Result in Original Units,Char,Exp,3.3
IS,ISORRESU,Original Units,Char,Exp,3.3
IS,ISSTRESC,Character Result in Std Format,Char,Exp,3.3
IS,ISSTRESN,Numeric Result in Std Units,Num,Perm,3.3
IS,ISSTRESU,Standard Units,Char,Perm,3.3
IS,ISSPEC,Specimen Type,Char,Exp,3.3
IS,ISMETHOD,Method,Char,Perm,3.3
IS,ISBLFL,Baseline Flag,Char,Perm,3.3
IS,ISDTC,Date/Time of Collection,Char,Exp,3.3
IS,ISDY,Study Day of Collection,Num,Perm,3.3
IS,VISITNUM,Visit Number,Num,Exp,3.3
IS,VISIT,Visit Name,Char,Exp,3.3
IS,EPOCH,Epoch,Char,Perm,3.3
ML,STUDYID,Study Identifier,Char,Req,3.3
ML,DOMAIN,Domain Abbreviation,Char,Req,3.3
ML,USUBJID,Unique Subject Identifier,Char,Req,3.3
ML,MLSEQ,Sequence Number,Num,Req,3.3
ML,MLTRT,Reported Name of Meal,Char,Req,3.3
ML,MLDECOD,Standardized Meal Name,Char,Perm,3.3
ML,MLCAT,Category,Char,Perm,3.3
ML,MLSTDTC,Start Date/Time,Char,Exp,3.3
ML,MLENDTC,End Date/Time,Char,Perm,3.3
ML,MLSTDY,Study Day of Start,Num,Perm,3.3
ML,MLENDY,Study Day of End,Num,Perm,3.3
ML,EPOCH,Epoch,Char,Perm,3.3
SM,STUDYID,Study Identifier,Char,Req,3.4
SM,DOMAIN,Domain Abbreviation,Char,Req,3.4
SM,USUBJID,Unique Subject Identifier,Char,Req,3.4
SM,SMSEQ,Sequence Number,Num,Req,3.4
SM,SMTESTCD,Disease Milestone Short Name,Char,Req,3.4
SM,SMTEST,Disease Milestone Name,Char,Req,3.4
SM,SMORRES,Result in Original Units,Char,Exp,3.4
SM,SMSTRESC,Character Result in Std Format,Char,Exp,3.4
SM,SMDTC,Date/Time,Char,Exp,3.4
SM,SMDY,Study Day,Num,Perm,3.4
SM,EPOCH,Epoch,Char,Perm,3.4
TD,STUDYID,Study Identifier,Char,Req,3.4
TD,DOMAIN,Domain Abbreviation,Char,Req,3.4
TD,TDORDER,Order of Disease Assessment,Num,Req,3.4
TD,TDANCVAR,Anchoring Variable,Char,Req,3.4
TD,TDSTOFF,Start Offset,Char,Perm,3.4
TD,TDTGTPAI,Target Number Per Assessment Interval,Num,Perm,3.4
TD,TDMINPAI,Min Number Per Assessment Interval,Num,Perm,3.4
TD,TDMAXPAI,Max Number Per Assessment Interval,Num,Perm,3.4
TM,STUDYID,Study Identifier,Char,Req,3.4
TM,DOMAIN,Domain Abbreviation,Char,Req,3.4
TM,MIDSTYPE,Disease Milestone Type,Char,Req,3.4
TM,TMDEF,Disease Milestone Definition,Char,Req,3.4
TM,TMRPT,Disease Milestone Repetition Indicator,Char,Perm,3.4
SUPPQUAL,STUDYID,Study Identifier,Char,Req,3.3
SUPPQUAL,RDOMAIN,Related Domain Abbreviation,Char,Req,3.3
SUPPQUAL,USUBJID,Unique Subject Identifier,Char,Req,3.3
SUPPQUAL,IDVAR,Identifying Variable,Char,Req,3.3
SUPPQUAL,IDVARVAL,Identifying Variable Value,Char,Req,3.3
SUPPQUAL,QNAM,Qualifier Variable Name,Char,Req,3.3
SUPPQUAL,QLABEL,Qualifier Variable Label,Char,Req,3.3
SUPPQUAL,QVAL,Data Value,Char,Req,3.3
SUPPQUAL,QORIG,Origin,Char,Req,3.3
SUPPQUAL,QEVAL,Evaluator,Char,Perm,3.3
RELREC,STUDYID,Study Identifier,Char,Req,3.3
RELREC,RDOMAIN,Related Domain Abbreviation,Char,Req,3.3
RELREC,USUBJID,Unique Subject Identifier,Char,Perm,3.3
RELREC,IDVAR,Identifying Variable,Char,Req,3.3
RELREC,IDVARVAL,Identifying Variable Value,Char,Req,3.3
RELREC,RELTYPE,Relationship Type,Char,Req,3.3
RELREC,RELID,Relationship Identifier,Char,Req,3.3
